"","otu5_subset"
"1","p8.H7"
"2","p5.A9"
"3","p27.D6"
"4","p13.F3"
"5","p20.D2"
"6","p23.B2"
"7","p23.F9"
"8","p11.G10"
"9","p11.H6"
"10","p24.H7"
"11","p24.H5"
"12","p11.H9"
"13","p3.F6"
"14","p7.B1"
"15","p25.A2"
"16","p26.B8"
"17","p6.F8"
"18","p13.H12"
"19","p9.E5"
"20","p25.F1"
"21","p1.A9"
"22","p6.G8"
"23","p4.C10"
"24","p23.H1"
"25","p23.A9"
"26","p3.C8"
"27","p2.B9"
"28","p6.B2"
"29","p26.D2"
"30","p26.F2"
"31","p26.A2"
"32","p5.F9"
"33","p26.E9"
"34","p23.A3"
"35","p7.G4"
"36","p6.B8"
"37","p25.C11"
"38","p4.F9"
"39","p4.E1"
"40","p26.B10"
"41","p26.E6"
"42","p25.G7"
"43","p6.H6"
"44","p4.G8"
"45","p20.F12"
"46","p2.H5"
"47","p24.E1"
"48","p4.A6"
"49","p7.F10"
"50","p8.A7"
"51","p3.F1"
"52","p12.G7"
"53","p7.E4"
"54","p5.H11"
"55","p22.G7"
"56","p9.D3"
"57","p23.C3"
"58","p4.D2"
"59","p11.G11"
"60","p6.A7"
"61","p6.D1"
"62","p8.E5"
"63","p25.G10"
"64","p21.F12"
"65","p11.G8"
"66","p26.B7"
"67","p4.H9"
"68","p13.E2"
"69","p11.A10"
"70","p23.B3"
"71","p3.C1"
"72","p26.G7"
"73","p22.C1"
"74","p24.B8"
"75","p4.E5"
"76","p26.G4"
"77","p12.C9"
"78","p26.A10"
