"","subset"
"1","p11.H3"
"2","p11.G2"
"3","p2.G1"
"4","p2.H2"
"5","p6.G6"
"6","p11.C6"
"7","p2.E4"
"8","p9.H9"
"9","p9.H8"
"10","p23.A5"
"11","p23.B4"
"12","p23.C6"
"13","p8.G2"
"14","p4.B4"
"15","p8.G8"
"16","p7.A9"
"17","p9.D10"
"18","p9.C4"
"19","p13.F5"
"20","p2.C9"
"21","p23.A4"
"22","p26.F7"
"23","p26.C9"
"24","p23.D8"
"25","p23.F4"
"26","p13.B5"
"27","p2.C11"
"28","p2.H6"
"29","p4.H5"
"30","p8.H2"
"31","p2.B6"
"32","p8.H7"
"33","p5.A9"
"34","p27.D6"
"35","p13.F3"
"36","p20.D2"
"37","p23.B2"
"38","p23.F9"
"39","p11.G10"
"40","p11.H6"
"41","p24.H7"
"42","p24.H5"
"43","p11.H9"
"44","p3.F6"
"45","p7.B1"
"46","p25.A2"
"47","p26.B8"
"48","p6.F8"
"49","p13.H12"
"50","p9.E5"
"51","p25.F1"
"52","p1.A9"
"53","p6.G8"
"54","p4.C10"
"55","p23.H1"
"56","p23.D7"
"57","p23.A9"
"58","p3.C8"
"59","p2.B9"
"60","p6.B2"
"61","p26.D2"
"62","p22.D2"
"63","p26.F2"
"64","p26.A2"
"65","p5.F9"
"66","p26.E9"
"67","p23.A3"
"68","p7.G4"
"69","p6.B8"
"70","p25.C11"
"71","p4.F9"
"72","p4.E1"
"73","p26.B10"
"74","p26.E6"
"75","p25.G7"
"76","p6.H6"
"77","p4.G8"
"78","p20.F12"
"79","p2.H5"
"80","p24.E1"
"81","p4.A6"
"82","p7.F10"
"83","p8.A7"
"84","p3.F1"
"85","p12.G7"
"86","p8.A2"
"87","p7.E4"
"88","p5.H11"
"89","p22.G7"
"90","p9.D3"
"91","p23.C3"
"92","p4.D2"
"93","p11.G11"
"94","p6.A7"
"95","p6.D1"
"96","p8.E5"
"97","p25.G10"
"98","p21.F12"
"99","p11.G8"
"100","p26.B7"
"101","p4.H9"
"102","p13.E2"
"103","p11.A10"
"104","p23.B3"
"105","p3.C1"
"106","p26.G7"
"107","p22.C1"
"108","p24.B8"
"109","p4.E5"
"110","p26.G4"
"111","p22.D7"
"112","p22.D5"
"113","p12.C9"
"114","p26.A10"
"115","p11.H11"
"116","p11.G3"
"117","p27.C5"
"118","p23.G7"
"119","p11.F9"
"120","p1.H8"
"121","p13.D5"
"122","p3.D5"
"123","p12.H9"
"124","p9.H10"
"125","p6.G3"
"126","p6.H5"
"127","p2.C4"
"128","p11.A4"
"129","p12.F12"
"130","p6.B4"
"131","p24.D10"
"132","p2.F1"
"133","p12.H7"
"134","p11.F11"
"135","p11.F7"
"136","p2.D4"
"137","p4.H2"
"138","p8.G10"
"139","p4.G2"
"140","p5.F2"
"141","p2.G2"
"142","p6.E9"
"143","p6.D10"
"144","p2.D10"
"145","p11.D3"
"146","p4.D11"
"147","p6.F1"
"148","p2.G9"
"149","p11.D4"
"150","p4.G3"
"151","p13.F1"
"152","p1.F2"
"153","p8.A8"
"154","p12.A9"
"155","p11.A6"
"156","p4.A8"
"157","p4.H3"
"158","p8.H3"
"159","p8.C5"
"160","p6.H2"
"161","p26.F6"
"162","p6.B5"
"163","p7.F2"
"164","p8.E11"
"165","p2.E10"
